address,start_timestamp,multiplier,break_months,share,split,diff
0,0x0cDF1a78f00f56ba879D0aCc0FDa1789e415f23B,,,,94682.5789473684,50000,0.0004
1,0x83ec0B504650C35320a04F4dc714b36cbd889081,1420070400,100,0,17618,9303,0.0078
2,0x9Bee5b17Eb847744b6a81Ee935409739F91c722c,1411689600,100,3,17585,9286,0.0095
3,0x974B9cb3c122561e3bf6234651E0b82B88Fb9015,1429056000,100,0,17361,9168,0.0092
4,0x28672015d230e554453024e469fbd3bfd26dd2de,1480550400,100,0,15809,8348,0.0061
5,0xd2aaC986e18E6c74CCd858B95B86883B54128CdB,1472515200,100,8,15321,8090,0.0092
6,0xdF6C53Df56f3992FC44195518A2d8B16306Af9ff,1496275200,100,0,15304,8081,0.0055
7,0xBFbeaB0896E29d0Db26ad60278d3Ab3C482BB199,1500076800,100,0,15179,8015,0.0075
8,0x4f4c63598ee4da4fb335879345df4e41fe498ba6,1502236800,100,0,15108,7978,0.0065
9,0x7E09A0639b8397D3C00d3def973b5dBB8D729292,1502928000,100,0,15085,7966,0.0077
10,0x1Dbfb8F23649610bC5e3B1ad899C4612BBB94c31,1507334400,100,0,14938,7888,0.0061
11,0x3B16821A5dBBFF86E4a88eA0621EC6be016cd79A,1508889600,100,0,14886,7861,0.004
12,0xbb3f2f946e8ee2912830e365cf241293636cb057,1513209600,100,0,14740,7783,0.0071
13,0x32751b71890ef1b879b7A0f393E669621405639d,1514764800,100,0,14687,7755,0.0051
14,0xf71E9C766Cdf169eDFbE2749490943C1DC6b8A55,1514764800,100,0,14687,7755,0.0051
15,0x6E602ED1F1E4F0651A3EaeA66d3234D269bc5b9C,1517270400,100,0,14602,7711,0.0046
16,0x3212974a4E53E5238f6ea193B36412Db9AD61c26,1517443200,100,0,14596,7707,0.005
17,0xde7204be13e3d3376dDfd91EE8C180AB9004D021,1520553600,100,0,14489,7651,0.0058
18,0x7c1c1C2DE344dcDd7db65E5D52C5E1Ea862C6139,1522540800,100,0,14420,7614,0.0046
19,0x8894e499d6359F3A7955736794Ca9a0D536109Be,1525132800,100,0,14330,7567,0.0043
