address,share
0x0cDF1a78f00f56ba879D0aCc0FDa1789e415f23B,5.0004
0x83ec0B504650C35320a04F4dc714b36cbd889081,0.9381
0x9Bee5b17Eb847744b6a81Ee935409739F91c722c,0.9381
0x974B9cb3c122561e3bf6234651E0b82B88Fb9015,0.9260
0x28672015d230e554453024e469fbd3bfd26dd2de,0.8409
0xd2aaC986e18E6c74CCd858B95B86883B54128CdB,0.8182
0xdF6C53Df56f3992FC44195518A2d8B16306Af9ff,0.8136
0xBFbeaB0896E29d0Db26ad60278d3Ab3C482BB199,0.8090
0x4f4c63598ee4da4fb335879345df4e41fe498ba6,0.8043
0x7E09A0639b8397D3C00d3def973b5dBB8D729292,0.8043
0x1Dbfb8F23649610bC5e3B1ad899C4612BBB94c31,0.7949
0x3B16821A5dBBFF86E4a88eA0621EC6be016cd79A,0.7901
0xbb3f2f946e8ee2912830e365cf241293636cb057,0.7854
0x32751b71890ef1b879b7A0f393E669621405639d,0.7806
0xf71E9C766Cdf169eDFbE2749490943C1DC6b8A55,0.7806
0x3212974a4E53E5238f6ea193B36412Db9AD61c26,0.7757
0x6E602ED1F1E4F0651A3EaeA66d3234D269bc5b9C,0.7757
0xde7204be13e3d3376dDfd91EE8C180AB9004D021,0.7709
0x7c1c1C2DE344dcDd7db65E5D52C5E1Ea862C6139,0.7660
0x8894e499d6359F3A7955736794Ca9a0D536109Be,0.7610
0xD7ea6863CFB8d1b16d4e31Cc2963c0f8a8Bd6849,0.7561
0x739e53FeB12979fF37d58364fa7b03439d172E83,0.7511
0x0E46e7cab54f62faCAcAFD6C7851A6D3cD92Ab04,0.7511
0x15358112e89393AD708462Aa787918DeAb0017A7,0.7410
0x0d7E8f2C84b984e8c87799abca3090157094F9fb,0.7359
0x4F0f44Ac51132198118101EC92727935F8D0f01C,0.7204
0x96d2CF99F8bcaFeAcd0B1084225e9445632E175f,0.7152
0x4843752dc23f6c28437979770cA710d0e13426e6,0.7152
0x3A1e7Af01CDDf8e104CfFf6966B27EB293AC748B,0.7152
0x6B29132ea388a308578c1d3Be068D0e4fc9915a2,0.7099
0x50d5e44700c10873875b4e75c4c9396562d83be1,0.7099
0xBc777d0b4676D963f861B2DEF0988009e6D2b599,0.7046
0xbd83D0E345d68B94CA3Dd871c102B4270d83Cdbd,0.6884
0xB651Fa52139A4557B01bbD0235Cab1b3113EC713,0.6829
0xcE7725e7C3ed31dfCd4A9bDe13A15A02eA453286,0.6829
0xb7A593EC62dc447eef23ea0e0B4d5144ac75ABC5,0.6718
0x004f67dAbb603AAA58eD52641CCafF09C559704A,0.6718
0x02205B69dd1AA81083aaCa283945B9f39CDDb340,0.6718
0xe05875F287C028901798aC2Dc8C22Ba908b8eF36,0.6662
0x8637D3D215fBaE518C4135e4A5Ca125703FC3c19,0.6605
0x1D9e8279305677b5fb0deDEAb3060873DE4d43B4,0.6605
0x3f785B03B82B49c1907790a1aa36e0D2903f7Af0,0.6548
0xD55Bf29915D139777783bBA3Ae6237844823B73b,0.6490
0xc19fd0195421f51baBA548Ac496891eA3966D6fC,0.6373
0x19d2e56df1133D262D3381d50418Bfc60a86c327,0.6344
0xC6cA7c3427AD6B7a06fbED6D18C394E540E31814,0.6314
0xf363C519F91E823184061e5BF28263262E2b9B8d,0.6254
0x49Aa00072a7BA8a5639C43Fe9F6536820E6F5d57,0.6254
0xa1D76553266fA8Ed3D143794a462aaFAdfC34f74,0.6133
0x644177F8D79117c2b9C7596527642B3c2D05888E,0.6009
0xdbb3cde95a38579843CE4a1EC3710659a15A2844,0.5946
0x410CB444e9C8FA7AfcF00a52FD5685Aa0E46324b,0.5946
0xb8B8ED5AFF16056DA66FF5a3deb8a04cf7250005,0.5818
0xA61E140D1dF52DEB723F50C41197B283bc7593fa,0.5753
0x04fD98CBB5e8eEe6b2a48Bef76f449F16B3f333b,0.5753
0x5dF195473E1eA02Bd64FD76c4f0c4FBe0f010F13,0.5687
0x9310e2b740855834a0cD4224Ab5EF80e10356350,0.5687
0x1B13241762787C7b7f0456BDA398AE995BE51869,0.5687
0x5AC41B7E73680a3E77B941fEE0BAD04F59c9bB7d,0.5687
0xDaEDc3b17215E5d262a77FE4dD28e4BfCA4236F1,0.5687
0xAB6a4804BC3c43C6dd5587Eb80bB4ba771D5b61b,0.5621
0xEdc7B224ce4224D9A42fa12B664944F351A60C90,0.5621
0x7e5ea5111b498c055bad68712647f88e6f73ec66,0.5553
0x0760E844e6f368ce73F1eEB917d37Db19375De3B,0.5553
0xede25F533614f0F4D988ac37cA934bd3bA96003F,0.5553
0x3eD7bf997b7A91e9e8aB9eE2F7ce983bd37D6392,0.5519
0xF9D0D698D6d398611B5c5848eEE26173D9fb9eED,0.5519
0x200Ce476481a89AB7FF9b737393297AE08CE539B,0.5485
0xd0A298d8F81a73C5eE662e268710f37Aa3950797,0.5485
0x153afFb96Fcb60085Ee307996Bdd2df0183A3682,0.5485
0xacfaA58970380CA31B56CdB2C87A50b5e1E8Aac8,0.5485
0x44976eFEb2de42869F70Cd99522670870fb55379,0.5485
0xa1506f8DC05b1c22Ba23CBfd4625C68599196E91,0.5416
0x661b81d462D80786c442774F452464A8C627a20E,0.5416
0xe2A296b3d3AD4212b6030442e70419ff7B82FEE4,0.5416
0xc2B45a05a5De2e7c81E0a722eD775dB8d3748F24,0.5416
0xB7b93e217dd4E6E700E7362cB234d6258438D3b7,0.5416
0xcF35a82Adc39a2B156E1B7EFd56D877278F2C93C,0.5346
0xd76fb058d4c8f82bf2ee2b53f626beb037775fd6,0.5346
0x80e138CF4aA137d0CE8694E1bbFcFAc6a571C085,0.5346
0xEd46bFFd4b8237a9c7E08f55F0B410544f989813,0.5346
0x0906Eb682C6d12EdBE5e0A43E60068E1A7F8bea3,0.5346
0xBCcf9b73664fd66a6EF1013383986833554B6f4F,0.5276
0x046Fb65722E7b2455012BFEBf6177F1D2e9738D9,0.5276
0xf144566254AA6FF229Da9c36fa3e86F92b8740B9,0.5276
0x438364532B3b8F5CAA556e8354472450d6244D1E,0.5276
0x3d5D2AC4fEcF16bb1651A445d5B17f977A823546,0.5276
0x975D1040E93316917BD67dD32a02e1929F8aF8D3,0.5276
0x26eef32Ec18df53Dce73CBDA9b05C910C9c5A1DC,0.5276
0x86F34D8b98171281AB8bFe65C7e2718E4f002e35,0.5240
0xab96014a7c078f09418cf899bf197cadff023c16,0.5240
0x080fc65494b63ad3aa9B8eAde5CEBD1963d35C48,0.5204
0xe87c851A79D6b0ce84DF3e7B65C00545de5D018e,0.5204
0x2f38617c9D8fc5863c5B3DE855d76CFb0B7Ab676,0.5204
0x000000f2913ac0E78f1b403A6Fabc8E3ac281835,0.5131
0xFDB6f6b78DDBbd8231Ef107d7b54fe487b5bdfA5,0.5057
0xc627a07F25c61244e0c72A2bCf52014015F469ff,0.4982
0x92B909bF0e0e683BddA73586D9F1A780F205DD5d,0.4982
0x963c83e1aD4eFA85D89F5aBd596AC0Cb9365c1AC,0.4982
0xCF97A2Bf04f0259DA597bE2582AE741f586325Da,0.4944
0x6a5ec9D4a8E5bbb0F7fD04658E088B4c636d7F15,0.4906
0x232e6c4eb0882fcf92865dc1de98bce2a56b6553,0.4906
0x2bC8451aAC67913BF7FB8223384aD76d1ae37839,0.4906
0xDF0cF8FA3e30C6245F1e1093FA5c44472CB00Ef4,0.4829
0x7cC3E83CD74Df93FcC879EC7c905635eE6a6C233,0.4750
0xeF71282C4FaED1347Cd2408E488A5e4E71bBD810,0.4750
0x642373c947D2C2BED12CDE6D5da3dAb11d6323f1,0.4670
0x43AB8a57DfD687dbA947452C7968711a92b5717d,0.4670
0xf1DF831EF8dea686508bB27252Ea86F72c012181,0.4670
0x8dF7a93EAd2456Ad12Cc5e71343460731Bfa504e,0.4670
0xB99568A0367D6fC2dC658346f3dbbbEA830E182c,0.4507
0xb1Aa03ebadF1BF068D9056aF9392630686D76B92,0.4507
0xd3a077b0fb24C3B9E86F732BfA3F2eB5d4E477AE,0.4507
0xB61384c05086576ebD647C9217Ce0765Bd748bA1,0.4422
0xe594EECD6Cc3de7721F029D82D8e654b6CDfd66C,0.4422
0x5baf47751b4eeE90d7F9fd5EB75c3aD4162421E4,0.4422
0x22F1D0cF45Ec89F7213d32FdE5b9Abb76CbF8498,0.4422
0xd290c3691e8dC2C2E27120259F5E662F309aF612,0.4422
0xa4cc25f3b9508d7Aa98F7aF535571D5906F8D1fE,0.4422
0x925F5d6cCdB04F56fBa1cdcAd92E4eBb0d421411,0.4380
0x0CEFE7d96642a6A9e2c7E34ec1e431E4206D3a93,0.4336
0x579Fc2cd54b0cA848b180BBc8ACf45C54982eeC5,0.4336
0x882337880eE78a7D32A069061994f619fd540F6d,0.4336
0xFeD50d730C07a85cEC48Ac586e0372D7D536Eef0,0.4336
0x554dcBaF9D1df74c195490d64E37eC0FdfED3c90,0.4336
0xA82F1Bcafd30d957B8F43c6E78b673b924AAeaED,0.4336
0xD9979fDb4B4e3a8E03A894a3d3Af7c05eEF96F76,0.4336
0x209E893E7e897f5710513F5C2c02984a9702Ca26,0.4336
0xb721c2e6640D963e99b37B6437ABAF6914A25A5e,0.4293
0x1f7689E867e14731AbE2B4B1E0B79b70cB4a0E29,0.4249
0xb203e2da1d81a62739333a9b24e2082a7e60ca6e,0.4249
0x5c712177430d9cFFb6bc15970e43Ab956Ef8A582,0.4249
0xD7ECB7fE6D5276773dE0A2317de2FF9Fde75fAD5,0.4249
0xD4Ea8dFbAB7113b061080272b09e08616b7A28e8,0.4249
0xc6cA2D4E5dA5f043fd883fd33BF5E36A45BceEF1,0.4249
0x4bbf240e0eb3069a0871dbb498edffe48e5deb54,0.4249
0x0a288920be4fCD86E04Ba2296B7379cf989185F4,0.4249
0x77DFC7a3C57fB5f8D7a489B402BC970992318622,0.4159
0x999412b2262996713e605dCa98C64d35F55E6832,0.4068
0x5684435fea165b1cDCBdfbdc39287F7929C6C055,0.3974
0x22E261a09B4397D09788350B6BDFC6B82f8B8D06,0.3974
0x2E2924E772184ae1690F57D61c05FD88bE6c570c,0.3927
0x32323265D9F3Df331ccaCf7Bd11135aF14776b69,0.3879
0xC582bf07f73a30dd10cc512E03a50C87383eEb91,0.3780
0x012ce20dF50768c8ddcD5Ecc1e9DCBb3cc7bE7fC,0.3780
0x70bB7d9C4fBBD208c38b8FF8aE6bEB23EEB93c8A,0.3780
0x3d84a438Af72F6396785EEa97B32F903520e36C8,0.3780
0x9192bDC7117A9A0cD989e6363928a26C938fB230,0.3680
0x62CC987e62B3Bef0ED47ff0DFA8864E7F9AeB656,0.3680
0xcf237369d67566c0f1f8837fb6d5f61c6964fb15,0.3680
0xc214355E26ed54242911baB5a11138AF8AC38C29,0.3680
0xaa610195371BF40cBa9D1Dd384644B46bBbb2457,0.3680
0x694fd83dcC8bBB57176CE49ccC1E37209c101352,0.3576
0xdcFf43082d8BeE4a60dC0DF429a806517dDfCE64,0.3576
0x3ed9D598b2099d99e9e49B1697729027C67926d2,0.3576
0x0E5d4c1F7C731db614c65f7C215f86cDa766e5E7,0.3576
0xcF9ebF877688Ed88a7479A6e63457Fd78D4275cE,0.3469
0x11AF83c24EbFC0c1Dd8120287ec2Cb2C74Ed8AfD,0.3415
0xf81a7b58Ec5Cec5451E21fE73d5af1131b8F785B,0.3245
0x9fb101BCd5C7BaEA48E29c45a3F0BD6caAf5709E,0.3245
0x0FC8d603bF823693caCff6040DfC51624C6BbA08,0.3187
0x14B44b350d3ae3147937Cc7689404E00dBc1DDdF,0.3127
0xd054d510F707db6A75659d136E670bC11212f334,0.3127
0x24ee9800Bc20205B3B0e831e824459b460B9Bb8e,0.3127
0xb4eA5ee5066e19EE63093b821cACA4CcE5bA5100,0.3004
0x1A993Ae6EdEb28F16EA29bcA1d7fF1C21c9CD0b4,0.3004
0xf2D6e83989eE4d792c588b0c451C3c834373dCCD,0.2941
0xDE09E76D5A06523A85bEDADa647AA1A78D99d30C,0.2876
0xd04dc289889c6af0e21a99e14db06a6d29658016,0.2810
0x138369EAA9F6fFDbE9E684341532B213BA3bc776,0.2810
0x1BecDF6300b41Cc87F2cbE7788b0b06CCd099bf6,0.2810
0x08B4811d9715CEe760d99BE22EA912C002FC6ff0,0.2743
0x099b7bCBaaFbF447aA695DF15CB345CA4DCF9462,0.2673
0x7676A43aa7ede2B01a831842c1cCC2450FE66aEB,0.2453
0xB6c76148d22B347deEC68c4aeE40b412bD847272,0.2453
0x23E93121beaF08D0AFbc39f351095605Da8CF732,0.2453
0x6700aCEa0471A88953404cB44DbC8DF4Aa29D3C6,0.2375
0x1Aaa7d815B122869796F9db3Dc9f57f3B1275747,0.2295
0x3AEFd79c91276B0A6f0e0f2393bE47FDFd67f34F,0.2295
0x9D6f543961E65e7eF7Eb5C7547B67Cac32b7649e,0.2295
0xA45395d21533470a58092Ff49AEFe8789E031A63,0.2295
0xDAE7a5b6f7527696bB7c351bC5440bc8347D4FAF,0.2211
0x5d8744652711f59b104E7e36b78ac6D5C7f6D760,0.2211
0x2E8689041B3e4cEeFeDF34F1F8C28C62E62a6C80,0.2124
0x80d5c2E66dafd99C069FEEa0C9300EB421d89308,0.2124
0xd8655672F6D50289D826e71CF65741f319B4f920,0.2034
0xF97f2c6a56Ed969B4bDa0Cd24e238826855CD4FC,0.1623
